"Week starting (Wythnos yn dechrau)","Week ending (Wythnos yn gorffen)","Country (Wlad)","Check-ins (Cofrestriadau)","Symptoms reported (Symptomau a adroddwyd)","Positive test results linked to app (Canlyniadau prawf positif)","Negative test results linked to app (Canlyniadau prawf negatif)","Contact tracing alert (Hysbysiadau olrhain cyswllt)","Cumulative check-ins (Cofrestriadau cronnus)","Cumulative symptoms reported (Symptomau a adroddwyd cronnus)","Cumulative positive test results linked to app (Canlyniadau prawf positif cronnus)","Cumulative negative test results linked to app (Canlyniadau prawf negatif cronnus)","Cumulative contact tracing alert (Hysbysiadau olrhain cyswllt cronnus)"
"2020-09-24","2020-09-30","England / Lloegr","9260223","113335","9505","27814","3662","9260223","113335","9505","27814","3662"
"2020-09-24","2020-09-30","Wales / Cymru","247989","6870","386","4794","108","247989","6870","386","4794","108"
"2020-10-01","2020-10-07","England / Lloegr","11312764","89415","20686","88951","19182","20572987","202750","30191","116765","22844"
"2020-10-01","2020-10-07","Wales / Cymru","255741","4992","742","5158","535","503730","11862","1128","9952","643"
"2020-10-08","2020-10-14","England / Lloegr","13363491","85067","22657","93106","26882","33936478","287817","52848","209871","49726"
"2020-10-08","2020-10-14","Wales / Cymru","296788","4533","964","5164","815","800518","16395","2092","15116","1458"
"2020-10-15","2020-10-21","England / Lloegr","14602432","94490","37405","144384","32257","48538910","382307","90253","354255","81983"
"2020-10-15","2020-10-21","Wales / Cymru","338919","4740","1662","7273","991","1139437","21135","3754","22389","2449"
"2020-10-22","2020-10-28","England / Lloegr","14226310","73947","42643","138811","33081","62765220","456254","132896","493066","115064"
"2020-10-22","2020-10-28","Wales / Cymru","134350","4298","2401","7661","1139","1273787","25433","6155","30050","3588"
"2020-10-29","2020-11-04","England / Lloegr","14088053","81663","46276","135584","122847","76853273","537917","179172","628650","237911"
"2020-10-29","2020-11-04","Wales / Cymru","53609","3453","2648","6827","2074","1327396","28886","8803","36877","5662"
"2020-11-05","2020-11-11","England / Lloegr","1606776","92448","52282","166564","127805","78460049","630365","231454","795214","365716"
"2020-11-05","2020-11-11","Wales / Cymru","120476","2766","1497","5886","1497","1447872","31652","10300","42763","7159"
"2020-11-12","2020-11-18","England / Lloegr","1462373","80979","47164","152474","85882","79922422","711344","278618","947688","451598"
"2020-11-12","2020-11-18","Wales / Cymru","228575","2958","1590","6555","2195","1676447","34610","11890","49318","9354"
"2020-11-19","2020-11-25","England / Lloegr","1324413","61582","29029","119067","44571","81246835","772926","307647","1066755","496169"
"2020-11-19","2020-11-25","Wales / Cymru","214225","3362","1777","7353","2674","1890672","37972","13667","56671","12028"
"2020-11-26","2020-12-02","England / Lloegr","1812338","55108","23316","97113","35687","83059173","828034","330963","1163868","531856"
"2020-11-26","2020-12-02","Wales / Cymru","214788","4178","2678","7516","3825","2105460","42150","16345","64187","15853"
"2020-12-03","2020-12-09","England / Lloegr","5384364","53492","25396","87276","41142","88443537","881526","356359","1251144","572998"
"2020-12-03","2020-12-09","Wales / Cymru","178009","5405","4543","8835","6290","2283469","47555","20888","73022","22143"
"2020-12-10","2020-12-16","England / Lloegr","5706475","73950","41767","117306","90665","94150012","955476","398126","1368450","663663"
"2020-12-10","2020-12-16","Wales / Cymru","166403","7420","7350","12389","9528","2449872","54975","28238","85411","31671"
"2020-12-17","2020-12-23","England / Lloegr","3371893","83275","55221","149700","199058","97521905","1038751","453347","1518150","862721"
"2020-12-17","2020-12-23","Wales / Cymru","71364","5239","4639","9420","8504","2521236","60214","32877","94831","40175"
"2020-12-24","2020-12-30","England / Lloegr","1146664","81052","71313","127451","263828","98668569","1119803","524660","1645601","1126549"
"2020-12-24","2020-12-30","Wales / Cymru","10350","4099","3597","6579","8637","2531586","64313","36474","101410","48812"
"2020-12-31","2021-01-06","England / Lloegr","572251","104712","93845","161563","205632","99240820","1224515","618505","1807164","1332181"
"2020-12-31","2021-01-06","Wales / Cymru","13391","4097","2803","6805","4521","2544977","68410","39277","108215","53333"
"2021-01-07","2021-01-13","England / Lloegr","558622","80757","72106","169183","137241","99799442","1305272","690611","1976347","1469422"
"2021-01-07","2021-01-13","Wales / Cymru","16436","3560","2197","7310","3571","2561413","71970","41474","115525","56904"
"2021-01-14","2021-01-20","England / Lloegr","516282","61491","54720","130110","103658","100315724","1366763","745331","2106457","1573080"
"2021-01-14","2021-01-20","Wales / Cymru","15685","2378","1492","5561","2521","2577098","74348","42966","121086","59425"
"2021-01-21","2021-01-27","England / Lloegr","500135","48029","37769","96122","71172","100815859","1414792","783100","2202579","1644252"
"2021-01-21","2021-01-27","Wales / Cymru","14544","2022","804","4357","1318","2591642","76370","43770","125443","60743"
"2021-01-28","2021-02-03","England / Lloegr","487029","38553","27901","88495","52729","101302888","1453345","811001","2291074","1696981"
"2021-01-28","2021-02-03","Wales / Cymru","13912","1738","601","4029","933","2605554","78108","44371","129472","61676"
"2021-02-04","2021-02-10","England / Lloegr","435615","28663","18884","76443","35214","101738503","1482008","829885","2367517","1732195"
"2021-02-04","2021-02-10","Wales / Cymru","13085","1346","551","3532","740","2618639","79454","44922","133004","62416"
"2021-02-11","2021-02-17","England / Lloegr","421938","23512","19962","83264","33701","102160441","1505520","849847","2450781","1765896"
"2021-02-11","2021-02-17","Wales / Cymru","11842","1192","576","3884","852","2630481","80646","45498","136888","63268"
"2021-02-18","2021-02-24","England / Lloegr","413400","19889","17700","86253","26472","102573841","1525409","867547","2537034","1792368"
"2021-02-18","2021-02-24","Wales / Cymru","11254","1026","488","4039","571","2641735","81672","45986","140927","63839"
"2021-02-25","2021-03-03","England / Lloegr","394347","14096","10533","77265","14568","102968188","1539505","878080","2614299","1806936"
"2021-02-25","2021-03-03","Wales / Cymru","12051","740","322","3455","410","2653786","82412","46308","144382","64249"
"2021-03-04","2021-03-10","England / Lloegr","382744","11978","8314","76581","10919","103350932","1551483","886394","2690880","1817855"
"2021-03-04","2021-03-10","Wales / Cymru","11417","763","292","3425","270","2665203","83175","46600","147807","64519"
"2021-03-11","2021-03-17","England / Lloegr","391066","12396","8414","74478","12853","103741998","1563879","894808","2765358","1830708"
"2021-03-11","2021-03-17","Wales / Cymru","13196","865","342","3896","486","2678399","84040","46942","151703","65005"
"2021-03-18","2021-03-24","England / Lloegr","377026","13251","8816","100866","12430","104119024","1577130","903624","2866224","1843138"
"2021-03-18","2021-03-24","Wales / Cymru","14336","1059","365","6145","555","2692735","85099","47307","157848","65560"
"2021-03-25","2021-03-31","England / Lloegr","373184","11097","6584","101070","11234","104492208","1588227","910208","2967294","1854372"
"2021-03-25","2021-03-31","Wales / Cymru","12805","687","240","5849","294","2705540","85786","47547","163697","65854"
"2021-04-01","2021-04-07","England / Lloegr","419094","8343","4132","75999","7185","104911302","1596570","914340","3043293","1861557"
"2021-04-01","2021-04-07","Wales / Cymru","10146","512","139","3730","143","2715686","86298","47686","167427","65997"
"2021-04-08","2021-04-14","England / Lloegr","2752400","7811","3484","83104","5565","107663702","1604381","917824","3126397","1867122"
"2021-04-08","2021-04-14","Wales / Cymru","24045","472","123","4169","157","2739731","86770","47809","171596","66154"
"2021-04-15","2021-04-21","England / Lloegr","6113550","6278","3670","98657","7505","113777252","1610659","921494","3225054","1874627"
"2021-04-15","2021-04-21","Wales / Cymru","46232","417","101","3954","93","2785963","87187","47910","175550","66247"
"2021-04-22","2021-04-28","England / Lloegr","5896106","6370","3795","85901","9979","119673358","1617029","925289","3310955","1884606"
"2021-04-22","2021-04-28","Wales / Cymru","52141","426","104","3752","178","2838104","87613","48014","179302","66425"
"2021-04-29","2021-05-05","England / Lloegr","5483774","5389","3669","69602","9296","125157132","1622418","928958","3380557","1893902"
"2021-04-29","2021-05-05","Wales / Cymru","57721","445","60","3528","117","2895825","88058","48074","182830","66542"
"2021-05-06","2021-05-12","England / Lloegr","4928531","5432","4035","81845","9561","130085663","1627850","932993","3462402","1903463"
"2021-05-06","2021-05-12","Wales / Cymru","51983","362","111","4187","229","2947808","88420","48185","187017","66771"
"2021-05-13","2021-05-19","England / Lloegr","7608114","6008","3844","89680","9408","137693777","1633858","936837","3552082","1912871"
"2021-05-13","2021-05-19","Wales / Cymru","93515","376","79","3772","194","3041323","88796","48264","190789","66965"
"2021-05-20","2021-05-26","England / Lloegr","12788984","6260","4595","93753","16255","150482761","1640118","941432","3645835","1929126"
"2021-05-20","2021-05-26","Wales / Cymru","167885","336","77","3646","227","3209208","89132","48341","194435","67192"
